1,Jose,Hernandes,jose@gmail.com.ar,,Mozo,,2021-11-09,,Activo
2,Bruno,Roncaglia,brunor@gmail.com.ar,,Mozo,,2021-11-09,,Activo
3,Esteban,Diaz,estebandiaz@gmail.com.ar,,Mozo,,2021-11-09,,Activo
4,Ana,Paez,paez@gmail.com.ar,,Mozo,,2021-11-09,,Activo
5,Julio,Fernandes,juliof@gmail.com.ar,,Bartender,Tragos,2021-11-09,,Activo
6,Maria,Godoy,mgodoy@gmail.com.ar,,Bartender,Tragos,2021-11-09,,Activo
7,Sebastian,Diaz,sebasdiaz@gmail.com.ar,,Cerveceros,Choperas,2021-11-09,,Activo
8,Erica,Garcia,ericag@gmail.com.ar,,Cerveceros,Choperas,2021-11-09,,Activo
9,Antonio,Perez,aperez@gmail.com.ar,,Cocinero,Cocina,2021-11-09,,Activo
10,Micaela,Burdisso,micburd@gmail.com.ar,,Cocinero,Cocina,2021-11-09,,Activo
11,Vanesa,Lopez,vlopez@gmail.com.ar,,Cocinero,Cocina,2021-11-09,,Activo
12,Gonzalo,Aranda,aranda@gmail.com.ar,,Cocinero,Cocina,2021-11-09,,Activo
13,Emiliano,Hernandez,ehernandez@gmail.com.ar,,Socio,,2021-11-09,,Activo
14,Florencia,Dagostino,dagost@gmail.com.ar,,Socio,,2021-11-09,,Activo
15,Guadalupe,Hernandez,ghernandez@gmail.com.ar,,Socio,,2021-11-09,,Activo
17,Maria,Alvarez,alvarez@gmail.com,,Bartender,Tragos,2021-11-11,,Activo
18,Julio,Monopoli,monopoli@gmail.com,,Bartender,Tragos,2021-12-06,,Activo
